,Date,Unix,Ticker,DE_ratio,Price,stock_p_chng,SP500,sp500_p_chng,Diff,Status
685,2012-10-18 03:58:48,1350512928.0,vfc,55.59,54.48,-26.378378378378383,1457.339966,1.1950282919075783,-27.573406670285962,underperformed
686,2006-08-21 12:42:03,1156144323.0,vfc,0.328,69.53,-6.0405405405405395,1297.52002,-9.902577163511015,3.862036622970476,outperformed
687,2012-05-07 03:19:33,1336340973.0,vfc,56.48,69.53,-6.0405405405405395,1369.579956,-4.8988666825256475,-1.141673858014892,underperformed
688,2004-09-23 13:21:48,1095925908.0,vfc,0.55,48.88,-33.945945945945944,1108.359985,-23.0375048674859,-10.908441078460044,underperformed
689,2011-12-21 05:46:01,1324426561.0,wfm,0.6,68.7,0.0,1243.719971,0.0,0.0,underperformed
690,2011-12-30 03:37:03,1325196423.0,wfm,0.6,69.94,1.8049490538573434,1257.599976,1.1160072462967618,0.6889418075605815,outperformed
691,2013-05-11 11:58:49,1368253729.0,wfm,0.74,69.94,1.8049490538573434,1632.689941,31.27472253157219,-29.46977347771485,underperformed
692,2012-08-23 00:29:48,1345661988.0,wfm,0.53,69.94,1.8049490538573434,1402.079956,12.732768524467156,-10.927819470609812,underperformed
693,2011-10-09 00:06:52,1318099012.0,wfm,0.63,66.8,-2.7656477438136906,1164.969971,-6.331811166196993,3.5661634223833025,outperformed
694,2012-12-09 04:01:05,1355005865.0,wfm,0.63,66.8,-2.7656477438136906,1413.939941,13.686358181024987,-16.452005924838677,underperformed
695,2011-08-08 06:42:24,1312765944.0,wfm,0.63,58.61,-14.68704512372635,1119.459961,-9.990995794663489,-4.696049329062861,underperformed
696,2011-12-28 21:15:44,1325087144.0,wfm,0.6,69.49,1.1499272197962038,1249.640015,0.4759949295692351,0.6739322902269687,outperformed
697,2013-04-22 02:15:19,1366577119.0,wfm,0.71,69.49,1.1499272197962038,1562.5,25.631173932480017,-24.481246712683813,underperformed
698,2013-06-21 23:32:03,1371837723.0,wpx,30.23,69.49,0.0,1592.430054,0.0,0.0,underperformed
699,2013-06-27 14:49:04,1372324744.0,wpx,30.23,69.49,0.0,1613.199951,1.3042894378832246,-1.3042894378832246,underperformed
700,2013-06-21 19:06:36,1371821796.0,wpx,30.23,69.49,0.0,1592.430054,0.0,0.0,underperformed
701,2012-10-25 15:11:09,1351158069.0,xom,9.28,69.49,0.0,1412.969971,0.0,0.0,underperformed
702,2005-01-16 07:46:13,1105841773.0,xom,0.106,51.07,-26.507411138293275,1177.449951,-16.668437747004315,-9.83897339128896,underperformed
703,2010-10-09 02:49:59,1286572799.0,xom,14.58,64.38,-7.353576054108505,1159.969971,-17.905546840528007,10.551970786419503,outperformed
704,2011-02-06 22:53:36,1297013016.0,xom,12.61,83.28,19.84458195423803,1307.099976,-7.492727883316072,27.337309837554102,outperformed
705,2005-07-21 08:58:18,1121916498.0,xom,0.08,59.0,-15.095697222621954,1227.040039,-13.158802792419714,-1.9368944302022406,underperformed
706,2011-01-30 20:35:54,1296399954.0,xom,12.61,78.99,13.671031803137144,1299.540039,-8.027766642466034,21.698798445603177,outperformed
707,2012-05-02 12:16:58,1335941218.0,xom,10.6,78.99,13.671031803137144,1402.310059,-0.7544330183079366,14.42546482144508,outperformed
